weight,fighter1,fighter2,method,round_end,time,date,event
"Lightweight
","Gleison Tibau
","Rafaello Oliveira
","Submission (rear-naked choke)
","2
","3:28
","May 28, 2011",UFC 130
"Bantamweight
","Michael McDonald
","Chris Cariaso
","Decision (split) (27–30, 29–28, 29–28)
","3
","5:00
","May 28, 2011",UFC 130
"Bantamweight
","Renan Barão
","Cole Escovedo
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","May 28, 2011",UFC 130
"Welterweight
","Georges St-Pierre (c)
","Jake Shields
","Decision (unanimous) (50–45, 48–47, 48–47)
","5
","5:00
","Apr 30, 2011",UFC 129
"Featherweight
","José Aldo (c)
","Mark Hominick
","Decision (unanimous) (48–45, 48–46, 49–46)
","5
","5:00
","Apr 30, 2011",UFC 129
"Light Heavyweight
","Lyoto Machida
","Randy Couture
","KO (jump-front kick)
","2
","1:05
","Apr 30, 2011",UFC 129
"Light Heavyweight
","Vladimir Matyushenko
","Jason Brilz
","KO (punches)
","1
","0:20
","Apr 30, 2011",UFC 129
"Lightweight
","Benson Henderson
","Mark Bocek
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Apr 30, 2011",UFC 129
"Welterweight
","Rory MacDonald
","Nate Diaz
","Decision (unanimous) (30–26, 30–27, 30–26)
","3
","5:00
","Apr 30, 2011",UFC 129
"Welterweight
","Jake Ellenberger
","Sean Pierson
","KO (punches)
","1
","2:42
","Apr 30, 2011",UFC 129
"Welterweight
","Claude Patrick
","Daniel Roberts
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Apr 30, 2011",UFC 129
"Bantamweight
","Ivan Menjivar
","Charlie Valencia
","TKO (elbow and punches)
","1
","1:30
","Apr 30, 2011",UFC 129
"Middleweight
","Jason MacDonald
","Ryan Jensen
","Submission (triangle choke)
","1
","1:37
","Apr 30, 2011",UFC 129
"Lightweight
","John Makdessi
","Kyle Watson
","KO (spinning back fist)
","3
","1:27
","Apr 30, 2011",UFC 129
"Featherweight
","Pablo Garza
","Yves Jabouin
","Submission (triangle choke)
","1
","4:31
","Apr 30, 2011",UFC 129
"Light Heavyweight
","Phil Davis
","Antônio Rogério Nogueira
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Welterweight
","Anthony Johnson
","Dan Hardy
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Welterweight
","Amir Sadollah
","DaMarques Johnson
","Submission (strikes)
","2
","3:27
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Featherweight
","Chan Sung Jung
","Leonard Garcia
","Submission (twister)
","2
","4:59
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Heavyweight
","Mike Russow
","Jon Madsen
","TKO (doctor stoppage)
","2
","5:00
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Featherweight
","Mackens Semerzier
","Alex Caceres
","Submission (rear-naked choke)
","1
","3:18
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Welterweight
","John Hathaway
","Kris McCray
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Bantamweight
","Michael McDonald
","Edwin Figueroa
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Heavyweight
","Christian Morecraft
","Sean McCorkle
","Technical Submission (guillotine choke)
","2
","4:10
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Welterweight
","Johny Hendricks
","TJ Waldburger
","TKO (punches)
","1
","1:35
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Middleweight
","Aaron Simpson
","Mario Miranda
","Decision (unanimous) (30–27, 30–27, 30–26)
","3
","5:00
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Lightweight
","Nik Lentz
","Waylon Lowe
","Submission (guillotine choke)
","3
","2:24
","Mar 26, 2011",UFC Fight Night: Nogueira vs. Davis
"Light Heavyweight
","Jon Jones
","Maurício Rua (c)
","TKO (knees and punches)
","3
","2:37
","Mar 19, 2011",UFC 128
"Bantamweight
","Urijah Faber
","Eddie Wineland
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Mar 19, 2011",UFC 128
"Lightweight
","Jim Miller
","Kamal Shalorus
","TKO (knee and punches)
","3
","2:15
","Mar 19, 2011",UFC 128
"Middleweight
","Nate Marquardt
","Dan Miller
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 19, 2011",UFC 128
"Heavyweight
","Brendan Schaub
","Mirko Cro Cop
","KO (punch)
","3
","3:44
","Mar 19, 2011",UFC 128
"Light Heavyweight
","Luiz Cané
","Eliot Marshall
","TKO (punches)
","1
","2:15
","Mar 19, 2011",UFC 128
"Lightweight
","Edson Barboza
","Anthony Njokuani
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Mar 19, 2011",UFC 128
"Welterweight
","Mike Pyle
","Ricardo Almeida
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Mar 19, 2011",UFC 128
"Lightweight
","Gleison Tibau
","Kurt Pellegrino
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Mar 19, 2011",UFC 128
"Bantamweight
","Joseph Benavidez
","Ian Loveland
","Decision (unanimous) (29–28, 30–27, 30–27)
","3
","5:00
","Mar 19, 2011",UFC 128
"Catchweight (195 lbs)
","Nick Catone
","Costas Philippou
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 19, 2011",UFC 128
"Featherweight
","Erik Koch
","Raphael Assunção
","KO (punch)
","1
","2:32
","Mar 19, 2011",UFC 128
"Welterweight
","Diego Sanchez
","Martin Kampmann
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Middleweight
","Mark Muñoz
","C.B. Dollaway
","TKO (punches)
","1
","0:54
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Middleweight
","Chris Weidman
","Alessio Sakara
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Bantamweight
","Brian Bowles
","Damacio Page
","Submission (guillotine choke)
","1
","3:30
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Light Heavyweight
","Cyrille Diabaté
","Steve Cantwell
","Decision (unanimous) (30–27, 30–25, 30–26)
","3
","5:00
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Lightweight
","Danny Castillo
","Joe Stevenson
","Decision (unanimous) (30–27, 29–28, 29–28)
","3
","5:00
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Lightweight
","Shane Roller
","Thiago Tavares
","KO (punches)
","2
","1:28
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Bantamweight
","Takeya Mizugaki
","Reuben Duran
","Decision (split) (27–30, 30–27, 29–28)
","3
","5:00
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Middleweight
","Dongi Yang
","Rob Kimmons
","TKO (punches)
","2
","4:47
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Middleweight
","Rousimar Palhares
","David Branch
","Submission (kneebar)
","2
","1:44
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Light Heavyweight
","Igor Pokrajac
","Todd Brown
","TKO (knee and punches)
","1
","5:00
","Mar 3, 2011",UFC Live: Sanchez vs. Kampmann
"Welterweight
","B.J. Penn
","Jon Fitch
","Draw (majority) (28–29, 28–28, 28–28)
","3
","5:00
","Feb 27, 2011",UFC 127
"Middleweight
","Michael Bisping
","Jorge Rivera
","TKO (punches)
","2
","1:54
","Feb 27, 2011",UFC 127
"Lightweight
","Dennis Siver
","George Sotiropoulos
","Decision (unanimous) (29–28, 30–28, 30–27)
","3
","5:00
","Feb 27, 2011",UFC 127
"Welterweight
","Brian Ebersole
","Chris Lytle
","Decision (unanimous) (30–27, 29–28, 29–28)
","3
","5:00
","Feb 27, 2011",UFC 127
"Middleweight
","Kyle Noke
","Chris Camozzi
","Submission (rear-naked choke)
","1
","1:35
","Feb 27, 2011",UFC 127
"Lightweight
","Ross Pearson
","Spencer Fisher
","Decision (unanimous) (30–27, 29–28, 29–28)
","3
","5:00
","Feb 27, 2011",UFC 127
"Light Heavyweight
","Alexander Gustafsson
","James Te Huna
","Submission (rear-naked choke)
","1
","4:27
","Feb 27, 2011",UFC 127
"Middleweight
","Nick Ring
","Riki Fukuda
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Feb 27, 2011",UFC 127
"Light Heavyweight
","Anthony Perosh
","Tom Blackledge
","Submission (rear-naked choke)
","1
","2:45
","Feb 27, 2011",UFC 127
"Featherweight
","Zhang Tiequan
","Jason Reinhardt
","Submission (guillotine choke)
","1
","0:48
","Feb 27, 2011",UFC 127
"Heavyweight
","Mark Hunt
","Chris Tuchscherer
","KO (punch)
","2
","1:41
","Feb 27, 2011",UFC 127
"Lightweight
","Curt Warburton
","Maciej Jewtuszko
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Feb 27, 2011",UFC 127
"Middleweight
","Anderson Silva (c)
","Vitor Belfort
","KO (front kick and punches)
","1
","3:25
","Feb 5, 2011",UFC 126
"Light Heavyweight
","Forrest Griffin
","Rich Franklin
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Feb 5, 2011",UFC 126
"Light Heavyweight
","Jon Jones
","Ryan Bader
","Submission (guillotine choke)
","2
","4:20
","Feb 5, 2011",UFC 126
"Welterweight
","Jake Ellenberger
","Carlos Eduardo Rocha
","Decision (split) (27–30, 29–28, 29–28)
","3
","5:00
","Feb 5, 2011",UFC 126
"Bantamweight
","Miguel Torres
","Antonio Banuelos
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Feb 5, 2011",UFC 126
"Lightweight
","Donald Cerrone
","Paul Kelly
","Submission (rear-naked choke)
","2
","3:48
","Feb 5, 2011",UFC 126
"Featherweight
","Chad Mendes
","Michihiro Omigawa
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Feb 5, 2011",UFC 126
"Bantamweight
","Demetrious Johnson
","Norifumi Yamamoto
","Decision (unanimous) (29–28, 30–27, 30–27)
","3
","5:00
","Feb 5, 2011",UFC 126
"Lightweight
","Paul Taylor
","Gabe Ruediger
","KO (head kick and punches)
","2
","1:42
","Feb 5, 2011",UFC 126
"Light Heavyweight
","Kyle Kingsbury
","Ricardo Romero
","TKO (punches)
","1
","0:21
","Feb 5, 2011",UFC 126
"Welterweight
","Mike Pierce
","Kenny Robertson
","KO (punches)
","2
","0:29
","Feb 5, 2011",UFC 126
"Lightweight
","Melvin Guillard
","Evan Dunham
","TKO (knees)
","1
","2:58
","Jan 22, 2011",UFC: Fight for the Troops 2
"Heavyweight
","Matt Mitrione
","Tim Hague
","TKO (punches)
","1
","2:59
","Jan 22, 2011",UFC: Fight for the Troops 2
"Featherweight
","Mark Hominick
","George Roop
","TKO (punches)
","1
","1:28
","Jan 22, 2011",UFC: Fight for the Troops 2
"Heavyweight
","Pat Barry
","Joey Beltran
","Decision (unanimous) (30–27, 29–28, 29–28)
","3
","5:00
","Jan 22, 2011",UFC: Fight for the Troops 2
"Lightweight
","Matt Wiman
","Cole Miller
","Decision (unanimous) (29–28, 30–27, 30–27)
","3
","5:00
","Jan 22, 2011",UFC: Fight for the Troops 2
"Lightweight
","Yves Edwards
","Cody McKenzie
","Technical Submission (rear-naked choke)
","2
","4:33
","Jan 22, 2011",UFC: Fight for the Troops 2
"Welterweight
","DaMarques Johnson
","Mike Guymon
","Verbal Submission (body triangle)
","1
","3:22
","Jan 22, 2011",UFC: Fight for the Troops 2
"Featherweight
","Rani Yahya
","Mike Brown
","Decision (unanimous) (30–27, 29–28, 29–28)
","3
","5:00
","Jan 22, 2011",UFC: Fight for the Troops 2
"Lightweight
","Waylon Lowe
","Willamy Freire
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Jan 22, 2011",UFC: Fight for the Troops 2
"Welterweight
","Charlie Brenneman
","Amilcar Alves
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Jan 22, 2011",UFC: Fight for the Troops 2
"Bantamweight
","Chris Cariaso
","Will Campuzano
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Jan 22, 2011",UFC: Fight for the Troops 2
"Lightweight
","Frankie Edgar (c)
","Gray Maynard
","Draw (split) (46–48, 48–46, 47–47)
","5
","5:00
","Jan 1, 2011",UFC 125
"Middleweight
","Brian Stann
","Chris Leben
","TKO (knee and punches)
","1
","3:37
","Jan 1, 2011",UFC 125
"Light Heavyweight
","Thiago Silva
","Brandon Vera
","No Contest (overturned)
","3
","5:00
","Jan 1, 2011",UFC 125
"Welterweight
","Dong Hyun Kim
","Nate Diaz
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Jan 1, 2011",UFC 125
"Lightweight
","Clay Guida
","Takanori Gomi
","Submission (guillotine choke)
","2
","4:27
","Jan 1, 2011",UFC 125
"Lightweight
","Jeremy Stephens
","Marcus Davis
","KO (punch)
","3
","2:33
","Jan 1, 2011",UFC 125
"Featherweight
","Dustin Poirier
","Josh Grispi
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Jan 1, 2011",UFC 125
"Middleweight
","Brad Tavares
","Phil Baroni
","KO (knees and punches)
","1
","4:20
","Jan 1, 2011",UFC 125
"Featherweight
","Diego Nunes
","Mike Brown
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Jan 1, 2011",UFC 125
"Welterweight
","Daniel Roberts
","Greg Soto
","Submission (kimura)
","1
","3:45
","Jan 1, 2011",UFC 125
"Lightweight
","Jacob Volkmann
","Antonio McKee
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Jan 1, 2011",UFC 125
"Welterweight
","Georges St-Pierre (c)
","Josh Koscheck
","Decision (unanimous) (50–45, 50–45, 50–45)
","5
","5:00
","Dec 11, 2010",UFC 124
"Heavyweight
","Stefan Struve
","Sean McCorkle
","TKO (punches)
","1
","3:55
","Dec 11, 2010",UFC 124
"Lightweight
","Jim Miller
","Charles Oliveira
","Submission (kneebar)
","1
","1:59
","Dec 11, 2010",UFC 124
"Lightweight
","Mac Danzig
","Joe Stevenson
","KO (punch)
","1
","1:54
","Dec 11, 2010",UFC 124
"Welterweight
","Thiago Alves
","John Howard
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Dec 11, 2010",UFC 124
"Middleweight
","Dan Miller
","Joe Doerksen
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Dec 11, 2010",UFC 124
"Lightweight
","Mark Bocek
","Dustin Hazelett
","Submission (triangle armbar)
","1
","2:33
","Dec 11, 2010",UFC 124
"Middleweight
","Rafael Natal
","Jesse Bongfeldt
","Draw (majority) (28–28, 28–28, 29–28)
","3
","5:00
","Dec 11, 2010",UFC 124
"Welterweight
","Sean Pierson
","Matthew Riddle
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Dec 11, 2010",UFC 124
"Welterweight
","Ricardo Almeida
","TJ Grant
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Dec 11, 2010",UFC 124
"Lightweight
","John Makdessi
","Pat Audinwood
","Decision (unanimous) (30–27, 30–27, 30–26)
","3
","5:00
","Dec 11, 2010",UFC 124
"Lightweight
","Jonathan Brookins
","Michael Johnson
","Decision (unanimous) (29-28, 29-28, 29-28)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Light Heavyweight
","Stephan Bonnar
","Igor Pokrajac
","Decision (unanimous) (29–26, 29–26, 29–26)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Middleweight
","Demian Maia
","Kendall Grove
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Welterweight
","Rick Story
","Johny Hendricks
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Featherweight
","Leonard Garcia
","Nam Phan
","Decision (split) (29–28, 27–30, 29–28)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Lightweight
","Cody McKenzie
","Aaron Wilkinson
","Submission (guillotine choke)
","1
","2:03
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Featherweight
","Ian Loveland
","Tyler Toner
","Decision (unanimous) (30–27, 29–28, 30–26)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Lightweight
","Kyle Watson
","Sako Chivitchian
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Catchweight (138 lbs)
","Nick Pace
","Will Campuzano
","Submission (pillory choke)
","3
","4:33
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Featherweight
","Pablo Garza
","Fredson Paixão
","KO (flying knee)
","1
","0:51
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Middleweight
","David Branch
","Rich Attonito
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Dec 4, 2010",The Ultimate Fighter: Team GSP vs. Team Koscheck Finale
"Light Heavyweight
","Quinton Jackson
","Lyoto Machida
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Nov 20, 2010",UFC 123
"Welterweight
","B.J. Penn
","Matt Hughes
","KO (punches)
","1
","0:21
","Nov 20, 2010",UFC 123
"Middleweight
","Maiquel Falcão
","Gerald Harris
","Decision (unanimous) (29–27, 29–28, 29–28)
","3
","5:00
","Nov 20, 2010",UFC 123
"Light Heavyweight
","Phil Davis
","Tim Boetsch
","Submission (modified kimura)
","2
","2:55
","Nov 20, 2010",UFC 123
"Lightweight
","George Sotiropoulos
","Joe Lauzon
","Submission (kimura)
","2
","2:43
","Nov 20, 2010",UFC 123
"Welterweight
","Brian Foster
","Matt Brown
","Submission (guillotine choke)
","2
","2:11
","Nov 20, 2010",UFC 123
"Middleweight
","Mark Muñoz
","Aaron Simpson
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Nov 20, 2010",UFC 123
"Welterweight
","Dennis Hallman
","Karo Parisyan
","TKO (punches)
","1
","1:47
","Nov 20, 2010",UFC 123
"Lightweight
","Edson Barboza
","Mike Lullo
","TKO (leg kicks)
","3
","0:26
","Nov 20, 2010",UFC 123
"Lightweight
","Paul Kelly
","T.J. O'Brien
","TKO (elbows)
","2
","3:16
","Nov 20, 2010",UFC 123
"Lightweight
","Nik Lentz
","Tyson Griffin
","Decision (split) (29–28, 27–30, 29–28)
","3
","5:00
","Nov 20, 2010",UFC 123
"Middleweight
","Yushin Okami
","Nate Marquardt
","Decision (unanimous) (29–28, 30–27, 29–28)
","3
","5:00
","Nov 13, 2010",UFC 122
"Lightweight
","Dennis Siver
","Andre Winner
","Submission (rear-naked choke)
","1
","3:37
","Nov 13, 2010",UFC 122
"Welterweight
","Amir Sadollah
","Peter Sobotta
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Nov 13, 2010",UFC 122
"Light Heavyweight
","Krzysztof Soszynski
","Goran Reljic
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Nov 13, 2010",UFC 122
"Welterweight
","Duane Ludwig
","Nick Osipczak
","Decision (split) (28–30, 29–28, 29–28)
","3
","5:00
","Nov 13, 2010",UFC 122
"Light Heavyweight
","Vladimir Matyushenko
","Alexandre Ferreira
","TKO (punches and elbows)
","1
","2:20
","Nov 13, 2010",UFC 122
"Welterweight
","Pascal Krauss
","Mark Scanlon
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Nov 13, 2010",UFC 122
"Middleweight
","Kyle Noke
","Rob Kimmons
","Submission (rear-naked choke)
","2
","1:33
","Nov 13, 2010",UFC 122
"Light Heavyweight
","Karlos Vemola
","Seth Petruzelli
","TKO (punches)
","1
","3:46
","Nov 13, 2010",UFC 122
"Welterweight
","Carlos Eduardo Rocha
","Kris McCray
","Submission (kneebar)
","1
","2:21
","Nov 13, 2010",UFC 122
"Heavyweight
","Cain Velasquez
","Brock Lesnar (c)
","TKO (punches)
","1
","4:12
","Oct 23, 2010",UFC 121
"Welterweight
","Jake Shields
","Martin Kampmann
","Decision (split) (28-29, 30–27, 29–28)
","3
","5:00
","Oct 23, 2010",UFC 121
"Welterweight
","Diego Sanchez
","Paulo Thiago
","Decision (unanimous) (30–26, 29–28, 29–28)
","3
","5:00
","Oct 23, 2010",UFC 121
"Light Heavyweight
","Matt Hamill
","Tito Ortiz
","Decision (unanimous) (29–28, 29–28, 30–27)
","3
","5:00
","Oct 23, 2010",UFC 121
"Heavyweight
","Brendan Schaub
","Gabriel Gonzaga
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Oct 23, 2010",UFC 121
"Middleweight
","Court McGee
","Ryan Jensen
","Submission (arm-triangle choke)
","3
","1:21
","Oct 23, 2010",UFC 121
"Middleweight
","Tom Lawlor
","Patrick Côté
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Oct 23, 2010",UFC 121
"Welterweight
","Daniel Roberts
","Mike Guymon
","Submission (anaconda choke)
","1
","1:13
","Oct 23, 2010",UFC 121
"Lightweight
","Sam Stout
","Paul Taylor
","Decision (split) (28–29, 29–28, 30–27)
","3
","5:00
","Oct 23, 2010",UFC 121
"Middleweight
","Chris Camozzi
","Dongi Yang
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Oct 23, 2010",UFC 121
"Heavyweight
","Jon Madsen
","Gilbert Yvel
","TKO (punches)
","1
","1:48
","Oct 23, 2010",UFC 121
"Middleweight
","Michael Bisping
","Yoshihiro Akiyama
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Oct 16, 2010",UFC 120
"Welterweight
","Carlos Condit
","Dan Hardy
","KO (punch)
","1
","4:27
","Oct 16, 2010",UFC 120
"Welterweight
","Mike Pyle
","John Hathaway
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Oct 16, 2010",UFC 120
"Heavyweight
","Cheick Kongo
","Travis Browne
","Draw (unanimous) (28–28, 28–28, 28–28)
","3
","5:00
","Oct 16, 2010",UFC 120
"Welterweight
","Claude Patrick
","James Wilks
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Oct 16, 2010",UFC 120
"Light Heavyweight
","Alexander Gustafsson
","Cyrille Diabaté
","Submission (rear-naked choke)
","2
","2:41
","Oct 16, 2010",UFC 120
"Heavyweight
","Rob Broughton
","Vinicius Queiroz
","Submission (rear-naked choke)
","3
","1:46
","Oct 16, 2010",UFC 120
"Lightweight
","Paul Sass
","Mark Holst
","Submission (triangle choke)
","1
","4:45
","Oct 16, 2010",UFC 120
"Lightweight
","Spencer Fisher
","Curt Warburton
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Oct 16, 2010",UFC 120
"Light Heavyweight
","Fabio Maldonado
","James McSweeney
","TKO (punches)
","3
","0:48
","Oct 16, 2010",UFC 120
"Heavyweight
","Frank Mir
","Mirko Cro Cop
","KO (knee)
","3
","4:02
","Sep 25, 2010",UFC 119
"Light Heavyweight
","Ryan Bader
","Antônio Rogério Nogueira
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Sep 25, 2010",UFC 119
"Welterweight
","Chris Lytle
","Matt Serra
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Sep 25, 2010",UFC 119
"Lightweight
","Sean Sherk
","Evan Dunham
","Decision (split) (28–29, 29–28, 29–28)
","3
","5:00
","Sep 25, 2010",UFC 119
"Lightweight
","Melvin Guillard
","Jeremy Stephens
","Decision (split) (28–29, 29–28, 30–27)
","3
","5:00
","Sep 25, 2010",UFC 119
"Middleweight
","C.B. Dollaway
","Joe Doerksen
","Submission (guillotine choke)
","1
","2:13
","Sep 25, 2010",UFC 119
"Heavyweight
","Matt Mitrione
","Joey Beltran
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Sep 25, 2010",UFC 119
"Lightweight
","Thiago Tavares
","Pat Audinwood
","Submission (guillotine choke)
","1
","3:47
","Sep 25, 2010",UFC 119
"Lightweight
","Waylon Lowe
","Steve Lopez
","Decision (split) (29–28, 28–29, 29–28)
","3
","5:00
","Sep 25, 2010",UFC 119
"Welterweight
","TJ Grant
","Julio Paulino
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Sep 25, 2010",UFC 119
"Heavyweight
","Sean McCorkle
","Mark Hunt
","Submission (straight armbar)
","1
","1:03
","Sep 25, 2010",UFC 119
"Middleweight
","Nate Marquardt
","Rousimar Palhares
","TKO (punches)
","1
","3:28
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Catchweight (159 lbs)
","Charles Oliveira
","Efrain Escudero
","Submission (rear-naked choke)
","3
","2:25
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Lightweight
","Jim Miller
","Gleison Tibau
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Lightweight
","Cole Miller
","Ross Pearson
","Submission (rear-naked choke)
","2
","1:49
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Lightweight
","Yves Edwards
","John Gunderson
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Light Heavyweight
","Kyle Kingsbury
","Jared Hamman
","Decision (unanimous) (29–28, 29–28, 29–28)
","3
","5:00
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Middleweight
","David Branch
","Tomasz Drwal
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Middleweight
","Rich Attonito
","Rafael Natal
","Decision (unanimous) (29–28, 29–28, 30–27)
","3
","5:00
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Welterweight
","TJ Waldburger
","David Mitchell
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Welterweight
","Brian Foster
","Forrest Petz
","TKO (punches)
","1
","1:07
","Sep 15, 2010",UFC Fight Night: Marquardt vs. Palhares
"Lightweight
","Frankie Edgar (c)
","B.J. Penn
","Decision (unanimous) (50–45, 50–45, 50–45)
","5
","5:00
","Aug 28, 2010",UFC 118
"Heavyweight
","Randy Couture
","James Toney
","Submission (arm-triangle choke)
","1
","3:19
","Aug 28, 2010",UFC 118
"Middleweight
","Demian Maia
","Mario Miranda
","Decision (unanimous) (30–27, 30–27, 30–27)
","3
","5:00
","Aug 28, 2010",UFC 118
"Lightweight
","Gray Maynard
","Kenny Florian
","Decision (unanimous) (30–27, 30–27, 29–28)
","3
","5:00
","Aug 28, 2010",UFC 118
"Welterweight
","Nate Diaz
","Marcus Davis
","Technical Submission (guillotine choke)
","3
","4:02
","Aug 28, 2010",UFC 118
